block_id,block_label,block_category_str,block_eligible,in_final_sample
12270,[Block ID:]  12270 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2510,[Block ID:]  2510 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3036,[Block ID:]  3036 [Category:]  Strata 2: Low probability [Notes:] Vacant area.,Strata 2: Low probability,1,1
12358,[Block ID:]  12358 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
9154,[Block ID:]  9154 [Category:]  Off-limits [Notes:] It is a factory area.,Off-limits,0,0
11084,[Block ID:]  11084 [Category:]  Strata 1: High probability [Notes:] It’s a green area.,Strata 1: High probability,1,1
14161,[Block ID:]  14161 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2953,[Block ID:]  2953 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
8286,[Block ID:]  8286 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5679,[Block ID:]  5679 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
670,[Block ID:]  670 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5063,[Block ID:]  5063 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area.,Strata 2: Low probability,1,1
13426,[Block ID:]  13426 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
10513,[Block ID:]  10513 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
12211,[Block ID:]  12211 [Category:]  Strata 1: High probability [Notes:] It’s a green area.,Strata 1: High probability,1,1
1988,[Block ID:]  1988 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
11734,[Block ID:]  11734 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
8029,[Block ID:]  8029 [Category:]  Empty/not-urban [Notes:] Vacant area.,Empty/not-urban,0,0
11186,[Block ID:]  11186 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1340,[Block ID:]  1340 [Category:]  Off-limits [Notes:] It is a factory area.,Off-limits,0,0
1423,[Block ID:]  1423 [Category:]  Off-limits [Notes:] It is a factory area.,Off-limits,0,0
9040,[Block ID:]  9040 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
331,[Block ID:]  331 [Category:]  Empty/not-urban [Notes:] It’s a residential area. No business outlets.,Empty/not-urban,0,0
9461,[Block ID:]  9461 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
13380,[Block ID:]  13380 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5082,[Block ID:]  5082 [Category:]  Empty/not-urban [Notes:] There is no HH or business settlement.,Empty/not-urban,0,0
7632,[Block ID:]  7632 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
10472,[Block ID:]  10472 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
15172,[Block ID:]  15172 [Category:]  Strata 2: Low probability [Notes:] It’s a residential area. No business outlets.,Strata 2: Low probability,1,1
9558,[Block ID:]  9558 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
13987,[Block ID:]  13987 [Category:]  Empty/not-urban [Notes:] It’s a green area.,Empty/not-urban,0,0
6316,[Block ID:]  6316 [Category:]  Off-limits [Notes:] Ring road.,Off-limits,0,0
15203,[Block ID:]  15203 [Category:]  Strata 2: Low probability [Notes:] It’s a green area.,Strata 2: Low probability,1,1
1795,[Block ID:]  1795 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
