block_id,block_label,block_category_str,block_eligible,in_final_sample
8219,[Block ID:]  8219 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3615,[Block ID:]  3615 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
26790,[Block ID:]  26790 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available. Railway Line is covering area in between.,Off-limits,0,0
15378,[Block ID:]  15378 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
10275,[Block ID:]  10275 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1768,"[Block ID:]  1768 [Category:]  Insecure [Notes:] There is Bungalow/ villas and forest area, there is no MSEs available.",Insecure,0,0
6429,"[Block ID:]  6429 [Category:]  Off-limits [Notes:] It is nearby Airport and forest Area, no MSE's are to be found there",Off-limits,0,0
23978,[Block ID:]  23978 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
26786,[Block ID:]  26786 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
21077,"[Block ID:]  21077 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.Water treatment plant, forest area, there is no residence and market complex.",Off-limits,0,0
1847,[Block ID:]  1847 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
27989,[Block ID:]  27989 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
22896,[Block ID:]  22896 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
24824,[Block ID:]  24824 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
22180,[Block ID:]  22180 [Category:]  Off-limits [Notes:] In this area both the formal/ informal MSEs are not available.,Off-limits,0,0
24225,[Block ID:]  24225 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
9701,[Block ID:]  9701 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
18115,[Block ID:]  18115 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1384,[Block ID:]  1384 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
17009,[Block ID:]  17009 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20280,[Block ID:]  20280 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
28225,[Block ID:]  28225 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
