block_id,block_label,block_category_str,block_eligible,in_final_sample
23582,[Block ID:]  23582 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
17491,[Block ID:]  17491 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
861,[Block ID:]  861 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
9136,[Block ID:]  9136 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,0
26105,[Block ID:]  26105 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
9717,[Block ID:]  9717 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
26130,[Block ID:]  26130 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
23444,[Block ID:]  23444 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
6345,[Block ID:]  6345 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20138,[Block ID:]  20138 [Category:]  Strata 2: Low probability [Notes:] 2,Strata 2: Low probability,1,1
20186,[Block ID:]  20186 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,0
4426,[Block ID:]  4426 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,0
12740,[Block ID:]  12740 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
8289,[Block ID:]  8289 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
6463,[Block ID:]  6463 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
211,[Block ID:]  211 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
21436,[Block ID:]  21436 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2749,[Block ID:]  2749 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
10908,[Block ID:]  10908 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,0
1296,[Block ID:]  1296 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3735,[Block ID:]  3735 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,0
18033,[Block ID:]  18033 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
3357,[Block ID:]  3357 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1755,[Block ID:]  1755 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
9408,[Block ID:]  9408 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
18303,[Block ID:]  18303 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20104,[Block ID:]  20104 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
19047,[Block ID:]  19047 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20598,[Block ID:]  20598 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
23184,[Block ID:]  23184 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
16723,[Block ID:]  16723 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
8621,[Block ID:]  8621 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7834,[Block ID:]  7834 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,0
16098,[Block ID:]  16098 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
15884,[Block ID:]  15884 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
12226,[Block ID:]  12226 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
17671,[Block ID:]  17671 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
9762,[Block ID:]  9762 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
20956,[Block ID:]  20956 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
16800,[Block ID:]  16800 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
8353,[Block ID:]  8353 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
14504,[Block ID:]  14504 [Category:]  Strata 2: Low probability [Notes:] 2,Strata 2: Low probability,1,1
13861,[Block ID:]  13861 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
9947,[Block ID:]  9947 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
21497,[Block ID:]  21497 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1042,[Block ID:]  1042 [Category:]  Strata 2: Low probability [Notes:] 3,Strata 2: Low probability,1,1
5299,[Block ID:]  5299 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
