block_id,block_label,block_category_str,block_eligible,in_final_sample
7638,[Block ID:]  7638 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
7964,[Block ID:]  7964 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
7176,[Block ID:]  7176 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5094,[Block ID:]  5094 [Category:]  Empty/not-urban [Notes:] empty land Ogombo Lekki,Empty/not-urban,0,0
2552,[Block ID:]  2552 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
8210,[Block ID:]  8210 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,0
7978,[Block ID:]  7978 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3087,[Block ID:]  3087 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1907,[Block ID:]  1907 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
3225,[Block ID:]  3225 [Category:]  Empty/not-urban [Notes:] empty,Empty/not-urban,0,0
3978,[Block ID:]  3978 [Category:]  Empty/not-urban [Notes:] empty land- estiosa VI railway line,Empty/not-urban,0,0
9224,[Block ID:]  9224 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
305,[Block ID:]  305 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
6654,[Block ID:]  6654 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
6662,[Block ID:]  6662 [Category:]  Empty/not-urban [Notes:] Empty land in Lekki,Empty/not-urban,0,0
4057,[Block ID:]  4057 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
638,[Block ID:]  638 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4564,[Block ID:]  4564 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
7000,[Block ID:]  7000 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5000,[Block ID:]  5000 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1865,[Block ID:]  1865 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5046,[Block ID:]  5046 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
603,[Block ID:]  603 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1885,"[Block ID:]  1885 [Category:]  Off-limits [Notes:] Embasssy of US,UK  etc purely offices",Off-limits,0,0
7802,[Block ID:]  7802 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4559,[Block ID:]  4559 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
8575,[Block ID:]  8575 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
2031,[Block ID:]  2031 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1677,[Block ID:]  1677 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
5057,[Block ID:]  5057 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1050,[Block ID:]  1050 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
9171,[Block ID:]  9171 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1994,[Block ID:]  1994 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7530,[Block ID:]  7530 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
3813,[Block ID:]  3813 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7188,[Block ID:]  7188 [Category:]  Empty/not-urban [Notes:] Empty land Lekki Gardens,Empty/not-urban,0,0
7273,[Block ID:]  7273 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4738,[Block ID:]  4738 [Category:]  Empty/not-urban [Notes:] Forest in Lekki,Empty/not-urban,0,0
3974,[Block ID:]  3974 [Category:]  Empty/not-urban [Notes:] empty land- estiosa VI railway line,Empty/not-urban,0,0
7654,[Block ID:]  7654 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
9044,[Block ID:]  9044 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
5747,[Block ID:]  5747 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
8746,[Block ID:]  8746 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
8269,[Block ID:]  8269 [Category:]  Empty/not-urban [Notes:] RURAL,Empty/not-urban,0,0
464,[Block ID:]  464 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
8477,[Block ID:]  8477 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1722,[Block ID:]  1722 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
1216,[Block ID:]  1216 [Category:]  Empty/not-urban [Notes:] RURAL,Empty/not-urban,0,0
4184,[Block ID:]  4184 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1242,[Block ID:]  1242 [Category:]  Empty/not-urban [Notes:] Tincan Island/ sea,Empty/not-urban,0,0
2408,[Block ID:]  2408 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
4335,[Block ID:]  4335 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
6318,[Block ID:]  6318 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
6128,[Block ID:]  6128 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
1787,[Block ID:]  1787 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
4665,[Block ID:]  4665 [Category:]  Strata 2: Low probability [Notes:] NA,Strata 2: Low probability,1,1
2249,[Block ID:]  2249 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7602,[Block ID:]  7602 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
4197,[Block ID:]  4197 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
7084,[Block ID:]  7084 [Category:]  Strata 1: High probability [Notes:] NA,Strata 1: High probability,1,1
